question_id,option_id,option_label,is_missing
2025-064a_q4,1,Yes,false
2025-064a_q4,2,No,false
2025-064c_q1,1,"Conducted a search on a search engine (e.g., Google, Bing)",false
2025-064c_q1,2,"Asked a question to an AI chatbot (e.g., ChatGPT, Microsoft Copilot, Google Gemini)",false
2025-064c_q1,3,Traded cryptocurrency,false
2025-064c_q1,4,Rode in a self-driving car,false
2025-064c_q1,5,Used a virtual reality headset,false
2025-064c_q1,6,Watched television,false
2025-064c_q1,7,Read a newspaper,false
2025-064c_q1,8,None of the above,false
2025-064c_q10,1,Microsoft Copilot,false
2025-064c_q10,2,Google Gemini,false
2025-064c_q10,3,Claude AI,false
2025-064c_q10,4,Grok,false
2025-064c_q10,5,Deepseek,false
2025-064c_q10,6,Perplexity,false
2025-064c_q10,7,Llama by Meta,false
2025-064c_q10,9,None of the above,false
2025-064c_q10,10,ChatGPT,false
2025-064c_q11,1,Personal organization,false
2025-064c_q11,2,Managing your calendar and scheduling,false
2025-064c_q11,3,"Entertainment (e.g., storytelling, games, music)",false
2025-064c_q11,4,"Writing or editing personal messages, emails, or social media posts",false
2025-064c_q11,5,"Getting recommendations (e.g., movies, restaurants, gifts)",false
2025-064c_q11,6,Planning a trip,false
2025-064c_q11,7,Getting advice on health and fitness,false
2025-064c_q11,8,Other (please specify),false
2025-064c_q11,9,I do not use AI for my personal life,false
2025-064c_q12,1,Yes (please describe),false
2025-064c_q12,2,No,false
2025-064c_q13,1,I used an AI tool for mental-health or emotional-support purposes in the past 30 days,false
2025-064c_q13,2,"I have used an AI for that before, but not in the past 30 days",false
2025-064c_q13,3,I’ve never used an AI for mental-health or emotional-support purposes,false
2025-064c_q13,4,Prefer not to say,false
2025-064c_q14,1,"Coping strategies (e.g., reframing, breathing prompts)",false
2025-064c_q14,2,Mood tracking or journaling prompts,false
2025-064c_q14,3,Talking through feelings (“therapy-like” conversation),false
2025-064c_q14,4,Relationship/family advice,false
2025-064c_q14,5,"Stress, anxiety, or sleep support",false
2025-064c_q14,6,Crisis information or safety resources,false
2025-064c_q14,7,Scheduling or finding human therapy,false
2025-064c_q14,8,Other,false
2025-064c_q14,9,I haven’t used AI for these purposes,false
2025-064c_q15,1,Much more comfortable with AI,false
2025-064c_q15,2,Somewhat more,false
2025-064c_q15,3,About the same,false
2025-064c_q15,4,Somewhat less,false
2025-064c_q15,5,Much less,false
2025-064c_q15,6,Don’t know / Not sure,false
2025-064c_q16,1,Very likely,false
2025-064c_q16,2,Somewhat likely,false
2025-064c_q16,3,Not very likely,false
2025-064c_q16,4,Not at all likely,false
2025-064c_q16,5,Not sure,false
2025-064c_q17,1,Very beneficial,false
2025-064c_q17,2,Somewhat beneficial,false
2025-064c_q17,3,Neither beneficial nor harmful,false
2025-064c_q17,4,Somewhat harmful,false
2025-064c_q17,5,Very harmful,false
2025-064c_q17,6,I haven’t used AI for this,false
2025-064c_q18,1,Not at all,false
2025-064c_q18,2,A little,false
2025-064c_q18,3,Somewhat,false
2025-064c_q18,4,Very,false
2025-064c_q18,5,Extremely,false
2025-064c_q18,6,I don’t use an AI assistant,false
2025-064c_q20,1,Chatted with an AI “just to keep it company”,false
2025-064c_q20,2,Given your AI a name or nickname,false
2025-064c_q20,3,Told the AI something you haven’t told people close to you,false
2025-064c_q20,4,"Felt jealous or protective about your AI (e.g., dislike when others use “your” bot)",false
2025-064c_q20,5,Described an AI as a friend/partner when talking to others,false
2025-064c_q20,6,Purchased or subscribed to a companion AI product,false
2025-064c_q20,7,None of the above,false
2025-064c_q21,1,Not upset,false
2025-064c_q21,2,Slightly upset,false
2025-064c_q21,3,Moderately upset,false
2025-064c_q21,4,Very upset,false
2025-064c_q21,5,Devastated,false
2025-064c_q21,6,Not sure / I don’t use an AI chatbot for mental health purposes,false
2025-064c_q22_1,1,Definitely yes,false
2025-064c_q22_1,2,Probably yes,false
2025-064c_q22_1,3,Probably no,false
2025-064c_q22_1,4,Definitely no,false
2025-064c_q22_1,5,Not sure,false
2025-064c_q22_2,1,Definitely yes,false
2025-064c_q22_2,2,Probably yes,false
2025-064c_q22_2,3,Probably no,false
2025-064c_q22_2,4,Definitely no,false
2025-064c_q22_2,5,Not sure,false
2025-064c_q22_3,1,Definitely yes,false
2025-064c_q22_3,2,Probably yes,false
2025-064c_q22_3,3,Probably no,false
2025-064c_q22_3,4,Definitely no,false
2025-064c_q22_3,5,Not sure,false
2025-064c_q22_4,1,Definitely yes,false
2025-064c_q22_4,2,Probably yes,false
2025-064c_q22_4,3,Probably no,false
2025-064c_q22_4,4,Definitely no,false
2025-064c_q22_4,5,Not sure,false
2025-064c_q22_5,1,Definitely yes,false
2025-064c_q22_5,2,Probably yes,false
2025-064c_q22_5,3,Probably no,false
2025-064c_q22_5,4,Definitely no,false
2025-064c_q22_5,5,Not sure,false
2025-064c_q23,1,"No AI should have legal rights, regardless of capability",false
2025-064c_q23,2,"Some very advanced AIs should have limited rights (e.g., protections, obligations)",false
2025-064c_q23,3,Advanced AIs should eventually have rights similar to humans,false
2025-064c_q23,4,Don’t know / not sure,false
2025-064c_q4,1,Several times a day,false
2025-064c_q4,2,About once a day,false
2025-064c_q4,3,A few times a week,false
2025-064c_q4,4,Less than once a week,false
2025-064c_q4,5,Less than once a month,false
2025-064c_q4,6,Never,false
2025-064c_q5,1,I don’t need it,false
2025-064c_q5,2,I don’t know how to use it,false
2025-064c_q5,3,I don’t trust it,false
